"Topic","Q#","Difficulty","Question","Option A","Option B","Option C","Option D","Correct (1-4)","Correct Answer Text","Explanation"
"psych-mood","17","hard","The mechanism of action of lithium is best described as:","Dopamine receptor blockade","Inhibition of inositol monophosphatase disrupting IP3 signalling","Serotonin reuptake inhibition","GABA receptor potentiation","2","Inhibition of inositol monophosphatase disrupting IP3 signalling","Lithium inhibits inositol monophosphatase, depleting free inositol and disrupting phosphatidylinositol signalling cascades — the leading proposed mechanism for mood stabilisation."
"psych-mood","18","medium","A patient develops a widespread maculopapular rash 3 weeks after starting lamotrigine. The most important action is:","Add antihistamine and continue","Stop lamotrigine immediately","Reduce the dose by half","Switch to sodium valproate","2","Stop lamotrigine immediately","Any rash on lamotrigine must prompt cessation — 10% of rashes progress to Stevens-Johnson syndrome (SJS) or toxic epidermal necrolysis (TEN), which are life-threatening."
"psych-mood","19","medium","Which specifier applies to a major depressive episode with hypersomnia, leaden paralysis, and mood reactivity?","Melancholic features","Atypical features","Psychotic features","Peripartum onset","2","Atypical features","Atypical depression: mood reactivity (can cheer up), hypersomnia, hyperphagia, leaden paralysis, and interpersonal rejection sensitivity. Responds better to MAOIs than TCAs."
"psych-mood","20","medium","Cyclothymic disorder is characterised by:","Alternating major depressive and manic episodes over 2 years","Numerous periods of hypomanic and depressive symptoms not meeting full episode criteria for ≥2 years","Dysthymia plus at least one manic episode","Rapid cycling between euthymia and depression","2","Numerous periods of hypomanic and depressive symptoms not meeting full episode criteria for ≥2 years","Cyclothymia: ≥2 years of fluctuating hypomanic and depressive symptoms that do not meet criteria for full manic or major depressive episodes."
"psych-mood","21","easy","Which antidepressant is safest in overdose?","Amitriptyline","Fluoxetine","Venlafaxine","Duloxetine","2","Fluoxetine","SSRIs like fluoxetine are the safest in overdose. TCAs (amitriptyline) are lethal due to QTc prolongation and seizures. Venlafaxine in overdose also carries cardiac risk."
"psych-mood","22","medium","Postpartum psychosis most commonly presents within:","1 week of delivery","2–4 weeks of delivery","3 months of delivery","6 months of delivery","1","1 week of delivery","Postpartum psychosis typically starts within the first week (often days 1–5) after delivery. It is a psychiatric emergency requiring inpatient admission."
"psych-mood","23","hard","Premenstrual dysphoric disorder (PMDD) symptoms must:","Be present throughout the entire menstrual cycle","Resolve within a few days of menstrual onset","Be confirmed by at least 2 cycles of prospective daily ratings","Both B and C","4","Both B and C","PMDD requires symptoms that remit after menstrual onset AND confirmation by prospective daily ratings across ≥2 cycles to rule out cycle-related exacerbation of another disorder."
"psych-mood","24","medium","Which antidepressant is preferred in patients with comorbid chronic pain?","Fluoxetine","Sertraline","Duloxetine","Bupropion","3","Duloxetine","Duloxetine (SNRI) has FDA approvals for both MDD and multiple pain conditions (fibromyalgia, diabetic neuropathy, musculoskeletal pain) due to its noradrenergic action."
"psych-mood","25","medium","The target serum lithium level for maintenance therapy in bipolar disorder is typically:","0.1–0.4 mmol/L","0.4–0.8 mmol/L","0.6–1.0 mmol/L","1.5–2.0 mmol/L","3","0.6–1.0 mmol/L","Maintenance target: 0.6–1.0 mmol/L (some guidelines up to 1.2). Acute mania: 0.8–1.2 mmol/L. Toxicity becomes likely above 1.5 mmol/L."
"psych-anxiety","1","easy","DSM-5 requires that symptoms of generalised anxiety disorder (GAD) be present for at least:","2 weeks","1 month","3 months","6 months","4","6 months","GAD requires excessive, uncontrollable worry about multiple domains for at least 6 months, with ≥3 associated symptoms (adults)."
"psych-anxiety","2","easy","First-line pharmacological treatment for both GAD and panic disorder is:","Benzodiazepines","SSRIs or SNRIs","Buspirone","Beta-blockers","2","SSRIs or SNRIs","SSRIs (e.g. sertraline, escitalopram) and SNRIs (venlafaxine) are first-line. Benzodiazepines are used short-term only; buspirone is second-line for GAD."
"psych-anxiety","3","easy","The CBT technique specifically targeting avoidance behaviour in anxiety disorders is:","Cognitive restructuring","Exposure and response prevention (ERP)","Relaxation training","Motivational interviewing","2","Exposure and response prevention (ERP)","ERP (exposure and response prevention) directly targets the avoidance that maintains anxiety and is core to CBT for phobias, panic, and OCD."
"psych-anxiety","4","hard","Which OCD symptom cluster has the best response to fluvoxamine?","Contamination/cleaning","Symmetry/ordering","Harm/checking","All clusters respond similarly","4","All clusters respond similarly","Evidence does not strongly favour one OCD symptom dimension for serotonergic medications — all major subtypes respond to SRIs similarly in meta-analyses."
"psych-anxiety","5","easy","PTSD requires a duration of symptoms after the traumatic event of at least:","1 week","3 days","1 month","3 months","3","1 month","DSM-5 PTSD: symptoms in all four clusters (intrusion, avoidance, negative cognitions/mood, hyperarousal) for >1 month. Acute stress disorder covers the first month."
"psych-anxiety","6","easy","Which medication is FDA-approved specifically for PTSD?","Lorazepam","Sertraline and paroxetine","Propranolol","Quetiapine","2","Sertraline and paroxetine","Sertraline and paroxetine are the only two FDA-approved pharmacotherapies for PTSD. Prazosin may also be used for nightmares."
"psych-anxiety","7","easy","A patient describes a sudden surge of intense fear peaking within minutes, with palpitations, sweating, and fear of dying. This is most consistent with:","Generalised anxiety disorder","Panic attack","Social anxiety disorder","Acute stress reaction","2","Panic attack","Panic attacks peak within 10 minutes, are discrete episodes of intense fear, and include ≥4 physical/cognitive symptoms. Panic disorder requires recurrent attacks with anticipatory anxiety."
"psych-anxiety","8","medium","Social anxiety disorder is distinguished from normal shyness primarily by:","Avoidance of all social contact","Significant functional impairment or marked distress about social situations","Physical symptoms during social situations","Duration of more than 6 months","2","Significant functional impairment or marked distress about social situations","The key distinction is clinically significant impairment in occupational, academic, or social functioning — normal shyness does not cause this degree of distress/impairment."
"psych-anxiety","9","easy","Obsessions in OCD are best defined as:","Voluntary, repetitive behaviours performed to reduce anxiety","Intrusive, unwanted thoughts, urges, or images that cause anxiety","Fixed false beliefs held with absolute conviction","Recurrent avoidance of feared stimuli","2","Intrusive, unwanted thoughts, urges, or images that cause anxiety","Obsessions are ego-dystonic intrusive thoughts/images/urges the patient recognises as their own but cannot control. Compulsions are the repetitive acts performed to neutralise them."
"psych-anxiety","10","medium","The first-line psychotherapy for PTSD with the strongest evidence base is:","Psychodynamic therapy","Prolonged exposure (PE) or trauma-focused CBT","Supportive counselling","Eye movement desensitisation and reprocessing (EMDR) only","2","Prolonged exposure (PE) or trauma-focused CBT","Trauma-focused CBT (particularly prolonged exposure) and EMDR are both strongly evidence-based. NICE and APA guidelines list TF-CBT/prolonged exposure as first-line."
"psych-anxiety","11","medium","Body dysmorphic disorder (BDD) is classified in DSM-5 under which category?","Anxiety disorders","Somatic symptom disorders","Obsessive-compulsive and related disorders","Dissociative disorders","3","Obsessive-compulsive and related disorders","DSM-5 places BDD in the OCD spectrum (OC and related disorders) alongside hoarding disorder, trichotillomania, and excoriation disorder."
"psych-anxiety","12","easy","Specific phobia requires that the feared stimulus reliably provokes fear or anxiety that is:","Proportionate to the actual danger","Out of proportion to the actual danger","Limited to unexpected panic attacks","Present in all social situations","2","Out of proportion to the actual danger","Specific phobia: marked, out-of-proportion fear/anxiety provoked by a specific object/situation, causing avoidance or endurance with distress."
"psych-anxiety","13","easy","Benzodiazepines are avoided as long-term treatment for anxiety primarily because of:","Risk of agranulocytosis","Dependence, tolerance, and cognitive impairment","QTc prolongation","Risk of serotonin syndrome","2","Dependence, tolerance, and cognitive impairment","Long-term benzodiazepine use leads to physical dependence, tolerance (requiring dose escalation), and cognitive impairment (especially in the elderly — falls, dementia risk)."
"psych-anxiety","14","medium","Selective mutism is classified in DSM-5 as:","A communication disorder","An anxiety disorder","A neurodevelopmental disorder","A trauma-related disorder","2","An anxiety disorder","DSM-5 moved selective mutism from ""childhood disorders"" into the anxiety disorders chapter, recognising its anxiety basis (typically strong social anxiety)."
"psych-anxiety","15","easy","Which pharmacotherapy is first-line for OCD in adults?","Buspirone","A serotonin reuptake inhibitor (SRI) at higher doses","Antipsychotic augmentation","Benzodiazepine","2","A serotonin reuptake inhibitor (SRI) at higher doses","SRIs (SSRIs + clomipramine) are first-line for OCD. Higher doses than depression are often required. ERP is combined for optimal response."
"psych-anxiety","16","hard","Complex PTSD (in ICD-11) differs from PTSD by also including:","More intrusive symptoms","Disturbances in self-organisation: affect dysregulation, negative self-concept, and relational disturbances","Absence of avoidance symptoms","A shorter duration requirement","2","Disturbances in self-organisation: affect dysregulation, negative self-concept, and relational disturbances","ICD-11 complex PTSD adds three disturbances in self-organisation: affect dysregulation, deeply negative self-concept, and persistent difficulties in sustaining relationships."
"psych-anxiety","17","medium","Prazosin is used in PTSD primarily for:","Reducing hyperarousal during the day","Reducing trauma-related nightmares","Treating comorbid depression","Preventing dissociation","2","Reducing trauma-related nightmares","Prazosin (alpha-1 blocker) reduces noradrenergic activity during REM sleep and has evidence for reducing PTSD nightmares and sleep disturbance."
"psych-anxiety","18","medium","Agoraphobia in DSM-5 is defined as fear or anxiety about situations where escape might be difficult. It can be diagnosed:","Only with panic disorder","With or without panic disorder","Only after a panic attack occurs","Only in individuals who are housebound","2","With or without panic disorder","DSM-5 separated agoraphobia and panic disorder — each can be diagnosed independently. Agoraphobia without panic disorder is a standalone diagnosis."
"psych-anxiety","19","medium","The YALE-BROWN Obsessive Compulsive Scale (Y-BOCS) measures:","Severity of anxiety across multiple domains","Time, distress, impairment, resistance and control for obsessions and compulsions separately","Only the frequency of compulsions","Cognitive distortions in OCD","2","Time, distress, impairment, resistance and control for obsessions and compulsions separately","Y-BOCS has 10 items assessing obsession severity (5 items) and compulsion severity (5 items) across time, distress, interference, resistance, and control."
"psych-anxiety","20","easy","Hoarding disorder is characterised by:","Hoarding that results from another mental disorder only","Persistent difficulty discarding possessions regardless of actual value, causing clutter","Collecting dangerous objects specifically","Impulsive buying followed by guilt","2","Persistent difficulty discarding possessions regardless of actual value, causing clutter","Hoarding disorder: persistent difficulty discarding possessions due to perceived need to save them, resulting in clutter that compromises the use of living spaces."
"psych-anxiety","21","medium","Which cognitive distortion is most central to panic disorder?","All-or-nothing thinking","Catastrophic misinterpretation of benign bodily sensations","Personalisation","Mind reading","2","Catastrophic misinterpretation of benign bodily sensations","Clark's cognitive model: patients catastrophically misinterpret normal physiological sensations (e.g. ""palpitations = heart attack""), driving the panic cycle."
"psych-anxiety","22","medium","Acute stress disorder can be diagnosed up to how long after a trauma?","72 hours","1 month","3 days to 1 month","6 months","3","3 days to 1 month","Acute stress disorder: 3 days to 1 month post-trauma. If symptoms persist beyond 1 month, PTSD diagnosis applies."
"psych-anxiety","23","medium","Beta-blockers such as propranolol are most evidence-based for which anxiety condition?","GAD","Panic disorder","Performance (situational) social anxiety","OCD","3","Performance (situational) social anxiety","Propranolol is used PRN for performance anxiety (specific situations: public speaking, exams) by blocking peripheral adrenergic symptoms (tremor, tachycardia). Not for GAD or OCD."
"psych-anxiety","24","medium","Dissociative symptoms in PTSD most commonly manifest as:","Depersonalisation and derealisation","Amnesia for identity","Multiple distinct personality states","Fugue states","1","Depersonalisation and derealisation","DSM-5 PTSD with dissociative subtype: depersonalisation (feeling detached from one's mental processes/body) and/or derealisation (unreality of surroundings)."
"psych-anxiety","25","hard","Which statement about agoraphobia is correct?","It is always secondary to panic disorder","It must involve actual avoidance behaviour","It is more common in men","It cannot be treated with CBT","2","It must involve actual avoidance behaviour","Agoraphobia requires marked fear AND either avoidance or endurance with intense distress. It is more common in women and highly treatable with CBT (including interoceptive exposure)."
"psych-neurocognitive","1","medium","Which cognitive domain is assessed by asking a patient to name as many animals as possible in 1 minute?","Episodic memory","Semantic verbal fluency","Working memory","Visuospatial function","2","Semantic verbal fluency","Category fluency (semantic fluency) tasks tap frontal-temporal networks and semantic memory. Phonemic fluency (letter F-A-S) is more frontal-lobe dependent."
"psych-neurocognitive","2","easy","The core neuropathology of Alzheimer's disease consists of:","Lewy bodies in the substantia nigra","Amyloid plaques and neurofibrillary tangles","Huntingtin protein aggregates","TDP-43 inclusions","2","Amyloid plaques and neurofibrillary tangles","Alzheimer's: extracellular amyloid-beta plaques and intracellular neurofibrillary tangles (hyperphosphorylated tau). Cholinergic deficit is the key pharmacological target."
"psych-neurocognitive","3","easy","DSM-5 renamed ""dementia"" to:","Cognitive decline disorder","Major neurocognitive disorder","Severe cognitive impairment","Neurodegenerative disorder","2","Major neurocognitive disorder","DSM-5 replaced ""dementia"" with ""major neurocognitive disorder"" and ""mild cognitive impairment"" with ""mild neurocognitive disorder."""
"psych-neurocognitive","4","medium","Lewy body dementia is characterised by which triad?","Memory loss, aphasia, apraxia","Fluctuating cognition, visual hallucinations, parkinsonism","Personality change, executive dysfunction, disinhibition","Rapid cognitive decline, myoclonus, ataxia","2","Fluctuating cognition, visual hallucinations, parkinsonism","DLB: fluctuating cognition, recurrent well-formed visual hallucinations, and spontaneous parkinsonism. REM sleep behaviour disorder is also a core feature."
"psych-neurocognitive","5","medium","Antipsychotics should be used with extreme caution in Lewy body dementia because of:","Risk of tardive dyskinesia only","Severe neuroleptic sensitivity reactions (parkinsonism, sedation, death)","Risk of seizures","No clinically significant interaction","2","Severe neuroleptic sensitivity reactions (parkinsonism, sedation, death)","DLB patients are exquisitely sensitive to antipsychotics — even atypicals can cause severe, sometimes fatal neuroleptic sensitivity (acute parkinsonism, decreased consciousness, autonomic instability)."
"psych-neurocognitive","6","easy","Korsakoff's syndrome results from a deficiency of:","Vitamin B12","Folate","Thiamine (Vitamin B1)","Niacin (Vitamin B3)","3","Thiamine (Vitamin B1)","Korsakoff's syndrome (anterograde + retrograde amnesia + confabulation) results from thiamine deficiency, most commonly due to chronic alcohol use. Treat with IV Pabrinex (thiamine)."
"psych-neurocognitive","7","medium","Frontotemporal dementia (FTD) most commonly presents with:","Memory loss as the first symptom","Personality change, disinhibition, and executive dysfunction","Stepwise cognitive decline following strokes","Visual hallucinations and parkinsonism","2","Personality change, disinhibition, and executive dysfunction","Behavioural variant FTD: insidious personality change, disinhibition, apathy, loss of empathy, perseverative behaviour, and dietary changes. Memory is relatively preserved early."
"psych-neurocognitive","8","easy","The CAGE questionnaire screens for:","Cognitive impairment","Alcohol use disorder","Cannabis use","Opiate dependence","2","Alcohol use disorder","CAGE: Cut down, Annoyed, Guilty, Eye-opener. ≥2 ""yes"" answers suggests alcohol use disorder. Sensitivity ~70% for alcohol dependence."
"psych-neurocognitive","9","medium","Alcohol withdrawal seizures most commonly occur within:","6–12 hours of last drink","12–48 hours of last drink","72–96 hours of last drink",">7 days of abstinence","2","12–48 hours of last drink","Alcohol withdrawal seizures peak at 24–48 hours. Delirium tremens occurs 48–72 hours after last drink. Tremors and anxiety begin 6–12 hours."
